room_reservation_id,reservation_ref_no,room_no,reserved_date,booking_status,room_type,negotiated_price,no_of_occupant,no_of_adults,no_of_children,no_of_children_above_six,no_of_extra_beds,negotiated_extra_bed_rate,ep,ep_count,ep_rate,cp,cp_count,cp_rate,map_lunch,map_lunch_count,map_lunch_rate,ap,ap_count,ap_rate,total_room_amount,room_rate,total_without_tax,breakfast_count,lunch_count,dinner_count,breakfast_price,lunch_price,dinner_price,other_meal,other_meal_count,other_meal_rate,bst,service_charge,reservation_status,entered_by,map_dinner,map_dinner_count,map_dinner_rate,schedule_type,cnb_count_six_to_ten,cnb_count_below_six,foc
10982,RES_14052026_01694,306,2026-06-12,open,Deluxe Double,1662.34,3,2,1,1,1,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5189.99,1662.34,4493.50,3,0,3,303.03,380.95,380.95,f,0,0.00,1.00,1.00,reserved,,t,3,2051.94,single,0,0,f
10984,RES_14052026_01694,302,2026-06-12,open,Standard Double,1662.34,3,2,1,0,0,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3500.00,1662.34,3030.30,2,0,2,303.03,380.95,380.95,f,0,0.00,1.00,1.00,reserved,,t,2,1367.96,single,0,1,f
11411,RES_30052026_01824,203,2026-05-31,open,Standard Double,2057.00,2,2,0,0,0,900.00,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,2375.84,1662.34,2057.00,0,0,0,360.00,420.00,480.00,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
11412,RES_30052026_01824,203,2026-06-01,open,Standard Double,2057.00,2,2,0,0,0,900.00,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,2375.84,5500.00,2057.00,0,0,0,360.00,420.00,480.00,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
11413,RES_30052026_01824,203,2026-06-02,open,Standard Double,2057.00,2,2,0,0,0,900.00,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,2375.84,5500.00,2057.00,0,0,0,360.00,420.00,480.00,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
10990,RES_14052026_01696,301,2026-05-31,close,Standard Single,1662.34,2,2,0,0,0,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3400.02,1662.34,2943.74,2,0,2,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,GM,t,2,1281.40,single,0,0,f
11205,RES_22052026_01761,7031,2026-05-31,close,Family Apartment(King),1352.40,3,2,1,1,1,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5160.00,2285.71,4467.53,0,0,0,311.69,415.58,415.00,f,0,0.00,1.00,1.00,reserved,,t,3,2180.07,multiple,0,0,f
11206,RES_22052026_01761,7032,2026-05-31,close,Family Apartment(Twin),1352.40,3,2,1,1,1,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5160.00,2285.71,4467.53,0,0,0,311.69,415.58,415.00,f,0,0.00,1.00,1.00,reserved,,t,3,2180.07,multiple,0,0,f
11207,RES_22052026_01761,502,2026-06-05,close,Executive Apartment,1352.40,3,2,1,1,1,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5160.00,2285.71,4467.53,0,0,0,311.69,415.58,415.00,f,0,0.00,1.00,1.00,reserved,,t,3,2180.07,multiple,0,0,f
11208,RES_22052026_01761,504,2026-06-05,close,Premium Suite,1352.40,3,2,1,1,1,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5160.00,2285.71,4467.53,0,0,0,311.69,415.58,415.00,f,0,0.00,1.00,1.00,reserved,,t,3,2180.07,multiple,0,0,f
11420,RES_01062026_01828,602,2026-06-01,close,Executive Apartment,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,1920.00,1662.34,1662.34,0,0,0,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,Ugyen Dema,f,0,0.00,single,0,0,f
11421,RES_01062026_01829,307,2026-06-12,open,Deluxe Double,1662.34,3,3,0,0,1,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5295.01,1662.34,4584.42,3,0,3,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,t,3,1987.02,single,0,0,f
10820,RES_06052026_01645,202,2026-06-05,close,Standard Double,1662.34,2,2,0,0,0,935.06,f,0,0.00,t,2,720.00,f,0,0.00,f,0,0.00,2751.60,1662.34,2382.34,0,0,0,360.00,420.00,480.00,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
10821,RES_06052026_01645,203,2026-06-05,close,Standard Double,1662.34,2,2,0,0,0,935.06,f,0,0.00,t,2,720.00,f,0,0.00,f,0,0.00,2751.60,1662.34,2382.34,0,0,0,360.00,420.00,480.00,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
10825,RES_06052026_01646,302,2026-06-10,close,Standard Double,1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3450.01,1662.34,2987.02,2,0,2,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,Ugyen Dema,t,2,1324.68,single,0,0,f
10830,RES_06052026_01647,204,2026-06-10,open,Deluxe Double,1662.34,2,2,0,0,0,735.93,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3500.00,1662.34,3030.30,2,0,2,268.40,415.58,415.58,f,0,0.00,1.00,1.00,reserved,Ugyen Dema,t,2,1367.96,single,0,0,f
10831,RES_06052026_01647,203,2026-06-10,open,Standard Double,1662.34,3,3,0,0,1,735.93,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5139.99,1662.34,4450.21,3,0,3,268.40,415.58,415.58,f,0,0.00,1.00,1.00,reserved,Ugyen Dema,t,3,2051.94,single,0,0,f
6489,RES_22012026_00976,201,2026-06-12,open,Suite,1600.00,2,2,0,0,0,750.00,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3368.77,1600.00,2916.68,0,0,0,291.67,366.67,366.67,f,0,0.00,1.00,1.00,reserved,,t,2,1316.68,single,0,0,f
